Navn,Latitude,Longitude,Beskrivelse
Aghia Zoni — START/MÅL rute 29,37.747202,27.007047,"TURENS UTGANGSPUNKT. Parker ved klosteret Moni Aghias Zonis, sør i landsbyen. Rute 29: 8,0 km rundtur, 376 m stigning, 2t30, vanskelighetsgrad 2/5. Stien går opp gjennom olivenlunder, furu og tett kratt mot Profitis Elias. Ca. 22 km / 40 min fra Pythagorion via Vathy. GPX: samoshikes.com/gpx/sp29-5fda2397b3641507837878.gpx"
Profitis Elias,37.7443,27.0135,"Toppunktet på rute 29. Stien traverserer østsiden med utsikt utover havet. Herfra går snarveien 29A ned nordsiden (1,5 km, 45 min) — men den kutter 3,5 km og det er IKKE dokumentert om avstikkeren til Megali Lakka ligger på den delen. Ta hele sløyfa."
Kilde på rute 29,37.7425,27.0100,"Kilde med friskt vann i den sørlige ravinen, oppgitt av samoshikes.com. Eneste vannkilde på ruta — ta likevel med 2 liter hver. Posisjon er omtrentlig; følg GPX-sporet."
Megali Lakka,37.7519,27.0241,"MÅLET. 90 m gyllen sand med tung naturlig skygge og fiskestimer. Nås kun til fots — enten via avstikkeren fra rute 29, eller 800 m på rødmalte merker fra grusveien forbi Mourtia. Vender øst, så rolig sjø når nordkysten står i brenning. Ingen fasiliteter overhodet."
Mikri Lakka,37.7579,27.0249,"Nabobukta, 50 m småstein, 350 m til fots fra samme grusvei som Megali Lakka. Enda færre folk, men ingen skygge."
Mourtia — alternativ inngang,37.7614,27.0283,"SNARVEI hvis dere dropper turen: kjør hit, fortsett grusveien 1–2 km, følg rødmalte merker 800 m til Megali Lakka. Parker der asfalten slutter — scooterforsikringen faller bort utenfor asfalt. Palmer, turkist vann, liten kantine."
Vinmuseet på Malagari,37.7640,26.9560,"På vei hjem. Åpent tirsdager 10:00–16:30, €5 inkl. smaking i steinbygg fra 1800-tallet. Gjenåpnet for individuelle 1. april 2026. Den ene smaker, den andre kjører — grensa er 0,5 promille. +30 22730 87510."
Posidonio,37.7139,27.0568,"Lunsj etter turen, ti minutter unna. 1,2 km fra Tyrkia, øyas varmeste vann, pinjeskygge, taverna. Sørvendt bukt."
Kerveli,37.7350,27.0230,"Alternativ lunsjstopp med tavernaer. NB: GPS vil foreslå 687 m grus mellom Kerveli og Posidonio — kjør asfalten rundt, 8,8 km."
Kokkari — rute 21 (alternativ),37.7770,26.8890,"ALTERNATIV TUR. Skogsveisløyfe 9,4 km / 420 m / 4 t, sammenhengende furuskygge, ingen stiseksjoner. Mer skygge enn rute 29, men INGEN vannkilde — 2 liter hver. Ender ikke på folketom strand."
Tsamadou (alternativ),37.7800,26.8790,"ALTERNATIV BADING. Samos' eneste offisielle naturiststrand. Nakendelen er i ØSTRE ende, mot høyre når du ser mot sjøen. Nordvendt — sjekk vinden. Parkeringen fylles før kl. 10."
