Navn,Adresse,Beskrivelse
Remataki,"Remataki Beach, 831 03 Pythagorion (tlf. +30 22731 05090)","Sjømatstaverna. Grillet lam, reker, blekksprut, gresk salat og ouzo. Rating 4.4/5 (Google). Pris: €15–25."
Taverna Maritsa,"Ved borgen, 831 03 Pythagorion (tlf. +30 22730 61957)",Psarotaverna (sjømat). Grillet blekksprut og calamari anbefales sterkt. Rating 4.3/5 (TripAdvisor). Pris: €15–25.
Aphrodite Garden Restaurant,"Lykourgou Logotheti 55, 831 03 Pythagorion (tlf. +30 22730 61672)",Tradisjonell gresk. Hage med appelsin- og sitrontrær. Øy-mat med moderne vri. Rating 4.5/5. Pris: €20–30.
Elia Restaurant,"Havnen, 831 03 Pythagorion","Moderne gresk. Moussaka, steak, fersk og godt tilberedt. Rating 4.3/5 (TripAdvisor). Pris: €18–28."
Four Seasons Restaurant,"Havnepromenaden, 831 03 Pythagorion","Gresk & italiensk. Utsikt over sjøen, kombinerer gresk og italiensk. Travelers' Choice – #14 av 375. Rating 4.7/5 (Google). Pris: €25–35."
Cena,"Havnepromenaden, 831 03 Pythagorion",Italiensk & gresk. Godt kjøkken som blander italiensk og gresk. Rating 4.8/5 (TripAdvisor). Pris: €25–40.
Knife & Fork,"Paraliaki Odos Pythagoreiou 7, 831 03 Pythagorion (tlf. +30 22731 05085)","Middelhavsmat. Ferske, lokale råvarer. Rating 4.7/5. Pris: €20–30."
Alisavo,"Smyrnis 19, Prosfygika, 831 00 Vathy-Samos (tlf. +30 22733 00814)","Samiot / Lilleasiatisk. Tradisjonelle Samiot- og Asia Minor-oppskrifter, drevet av Zoi Tzereta. Rating 4.6/5. Pris: €18–28."
To Tigani,"Eirinis-plassen, 831 03 Pythagorion (tlf. +30 22731 04500)","Tradisjonell gresk, upretensiøs. Homestyle mat, store porsjoner, langt fra turistfellene. Rating 4.2/5. Pris: €12–20."
Mermizeli,"Havnen, 831 03 Pythagorion (tlf. +30 22730 62085)","Middelhavsmat & sjømat. Lokale råvarer, avslappet atmosfære. Pris: €15–25."
